Brinco_Pai;Brinco_Mae;Media_Pai;Media_Mae;Idade;Ordem_Lac;DEL;Brinco_Animal;Prod_Leit
10029;15038;1.31;0.7;2;1;33;19075;1.3
10029;15038;1.31;0.7;2;1;58;19075;1.4
10029;15038;1.31;0.7;3;1;99;19075;0.4
10029;15038;1.31;0.7;3;1;124;19075;0.3
10029;15038;1.31;0.7;3;1;152;19075;0.4
10029;15038;1.31;0.7;3;1;183;19075;0.3
10029;15038;1.31;0.7;3;1;213;19075;0.3
10029;15038;1.31;0.7;3;1;245;19075;0.2
10029;15038;1.31;0.7;3;1;280;19075;0.2
10029;15038;1.31;0.7;3;1;26;19075;1.5
10029;15038;1.31;0.7;3;2;57;19075;1.2
10029;15038;1.31;0.7;4;2;123;19075;1.5
10029;15038;1.31;0.7;4;2;148;19075;0.6
14101;15038;1.66;0.7;3;1;143;18020;1.9
14101;15038;1.66;0.7;3;1;186;18020;2.2
14101;15038;1.66;0.7;3;1;200;18020;1.7
14101;15038;1.66;0.7;3;1;232;18020;1.9
14101;15038;1.66;0.7;3;1;257;18020;2.1
14101;15038;1.66;0.7;4;1;298;18020;1.5
14101;15038;1.66;0.7;4;1;323;18020;1.0
14101;15038;1.66;0.7;4;1;351;18020;0.9
14101;15038;1.66;0.7;4;1;382;18020;0.8
14101;15038;1.66;0.7;4;1;6;18020;2.3
14101;15038;1.66;0.7;4;2;31;18020;2.3
14101;15038;1.66;0.7;4;2;70;18020;2.3
14101;15038;1.66;0.7;4;2;97;18020;2.4
14101;15038;1.66;0.7;4;2;133;18020;2.1
14101;15038;1.66;0.7;4;2;164;18020;1.3
14101;15038;1.66;0.7;5;2;230;18020;2.1
14101;15038;1.66;0.7;5;2;255;18020;1.5
14101;15038;1.66;0.7;5;2;345;18020;0.9
14101;15038;1.66;0.7;5;2;23;18020;1.3
14101;15038;1.66;0.7;5;3;88;18020;1.6
14101;15038;1.66;0.7;6;3;135;18020;1.5
14101;15038;1.66;0.7;6;3;159;18020;1.5
15009;15046;1.76;1.32;2;1;160;19030;1.5
15009;15046;1.76;1.32;2;1;32;19030;1.3
15009;15046;1.76;1.32;2;1;57;19030;2.8
15009;15046;1.76;1.32;3;1;98;19030;2.1
15009;15046;1.76;1.32;3;1;123;19030;2.3
15009;15046;1.76;1.32;3;1;151;19030;2.2
15009;15046;1.76;1.32;3;1;182;19030;2.4
15009;15046;1.76;1.32;3;1;212;19030;2.1
15009;15046;1.76;1.32;3;1;244;19030;1.9
15009;15046;1.76;1.32;3;1;279;19030;1.3
15009;15046;1.76;1.32;3;1;304;19030;1.2
15009;15046;1.76;1.32;3;1;343;19030;1.0
15009;15046;1.76;1.32;3;1;9;19030;1.8
15009;15046;1.76;1.32;3;2;45;19030;1.4
15009;15046;1.76;1.32;3;2;76;19030;0.8
15009;15046;1.76;1.32;4;2;142;19030;1.8
15009;15046;1.76;1.32;4;2;167;19030;1.2
15009;15046;1.76;1.32;4;2;257;19030;0.8
15009;15046;1.76;1.32;4;2;30;19030;0.9
13362;15046;1.46;1.32;3;1;284;17053;2.6
13362;15046;1.46;1.32;3;1;361;17053;1.9
13362;15046;1.46;1.32;4;1;400;17053;1.9
13362;15046;1.46;1.32;4;1;450;17053;2.1
13362;15046;1.46;1.32;4;1;603;17053;1.4
14101;15047;1.66;0.66;2;1;69;18036;0.8
14101;15047;1.66;0.66;3;1;108;18036;1.1
14101;15047;1.66;0.66;3;1;158;18036;1.0
14101;15047;1.66;0.66;3;1;9;18036;0.6
14101;15047;1.66;0.66;3;2;23;18036;1.1
14101;15047;1.66;0.66;3;2;55;18036;1.1
14101;15047;1.66;0.66;3;2;80;18036;0.8
14101;15047;1.66;0.66;4;2;121;18036;0.8
14101;15047;1.66;0.66;4;2;146;18036;0.5
14101;15047;1.66;0.66;4;2;174;18036;0.4
14101;15047;1.66;0.66;4;2;26;18036;1.0
14101;15047;1.66;0.66;4;3;53;18036;0.8
14101;15047;1.66;0.66;4;3;89;18036;0.8
14101;15047;1.66;0.66;4;3;120;18036;0.4
14101;15047;1.66;0.66;5;3;23;18036;0.1
